proxy_name,num_of_conns,client/cpu,client/workingset,rps/mean,latency/mean,latency/p99,proxy/cpu,proxy/workingset,server/cpu,server/workingset
nginx,1,0.06,52.0,3230.612481054505,308.0679922200267,545,0.06,7.0,0.49,176.0
nginx,2,0.1,50.0,5834.1064096319415,341.21014064227495,505,0.11,7.0,0.7,178.0
nginx,4,0.17,50.0,10861.633361815599,366.41728593590085,632,0.22,8.0,0.9,181.0
nginx,8,0.27,50.0,17240.62073661828,462.0482165520748,1276,0.55,8.0,0.96,182.0
traefik,1,0.05,50.0,2216.728863129909,449.4427969924812,796,0.27,29.0,0.41,175.0
traefik,2,0.09,50.0,2744.7098668268795,726.5434880303159,7432,0.46,29.0,0.94,179.0
traefik,4,0.13,52.0,1504.005333061416,2657.8010196165355,20960,0.54,31.0,0.99,181.0
traefik,8,0.12,50.0,1353.8265672536597,5907.54507399473,31640,0.39,37.0,0.99,188.0
yarp,1,0.04,50.0,1809.0333906181888,551.0229320606608,851,0.48,191.0,0.3,175.0
yarp,2,0.08,50.0,3331.5487020412415,598.2175307295549,985,0.74,192.0,0.44,176.0
yarp,4,0.13,50.0,5929.450118036136,672.3059093375009,1233,0.98,208.0,0.61,173.0
yarp,8,0.21,50.0,11783.551772645442,676.7831498101118,1176,0.98,195.0,0.84,178.0
