proxy_name,num_of_conns,client/cpu,client/workingset,rps/mean,latency/mean,latency/p99,proxy/cpu,proxy/workingset,server/cpu,server/workingset
nginx,1,0.04,49.0,6449.327140345446,154.0353607008567,204,0.03,7.0,0.18,304.0
nginx,2,0.06,49.0,11792.826343616076,168.41317334803162,269,0.04,8.0,0.31,329.0
nginx,4,0.09,48.0,22904.789952628653,173.4031287929283,289,0.08,7.0,0.49,331.0
nginx,8,0.16,48.0,42145.24827766886,188.53759462870036,359,0.16,8.0,0.69,330.0
traefik,1,0.03,50.0,3713.2962287341497,268.0926856855599,451,0.12,30.0,0.14,307.0
traefik,2,0.05,48.0,6903.212095010618,288.48531708954124,455,0.2,33.0,0.23,327.0
traefik,4,0.09,50.0,12693.404089045713,313.80767675335284,550,0.33,34.0,0.39,330.0
traefik,8,0.16,48.0,22864.886209839944,348.4561138283682,679,0.53,36.0,0.55,329.0
yarp,1,0.02,47.0,3966.706332353413,251.06309663865545,308,0.2,345.0,0.15,311.0
yarp,2,0.04,49.0,6786.122296674558,293.4851742422568,423,0.37,351.0,0.23,327.0
yarp,4,0.08,49.0,13309.173195178804,299.2071457195812,457,0.61,347.0,0.4,326.0
yarp,8,0.13,49.0,24830.88973203281,320.758520864279,514,0.9,351.0,0.58,331.0
